State,Total,Instruction,Research,Public service,Academic support,Student services,Institutional support,"Scholarships and fellowships expenses, excluding discounts and allowances",Auxiliary enterprises,Hospital services,Independent operations,Other expenses and deductions
Alaska,852488,260757,163135,58938,79707,67231,126838,24320,49363,0,0,22200
Alabama,7785726,1923520,652801,421959,544291,455120,742479,251777,641989,2040955,0,110836
Arkansas,4117037,939234,311031,203774,238946,162665,575240,148853,355047,1057396,0,124852
Arizona,6508255,2075182,769609,191517,838164,419446,673479,414177,562977,0,0,563704
California,58185729,15990377,5592232,999359,4923978,4028679,5389738,3164232,3265378,10657038,0,4174718
Colorado,8574331,2459408,1052178,264160,662565,423745,716004,186475,981813,974460,0,853523
Connecticut,3857763,1187720,177696,102995,351757,201288,317385,106890,374368,378997,250836,407830
District of Columbia,141861,41290,5405,2477,19506,13095,20202,9345,4757,0,0,25783
Delaware,307807,142772,12668,7262,25623,29477,50085,9535,30384,0,0,0
Florida,12722128,4368055,1588201,892073,1253110,830876,1405305,1021543,1040806,0,0,322159
Georgia,8496960,2580025,1522030,369179,748929,507541,894466,409372,954206,383341,0,127869
Hawaii,1847752,601583,284487,88803,160301,84537,147292,34374,136097,0,0,310278
Iowa,5789532,1255477,617423,246981,465991,177607,379426,91902,611312,1791427,52519,99467
Idaho,1306989,471633,130607,81720,105253,82626,134147,72053,166209,0,0,62742
Illinois,12964156,4454358,988344,801809,1294077,838411,1373939,636198,1117649,1055786,12277,391308
Indiana,6805880,2804268,628582,353590,848695,304962,568696,301011,974954,0,0,21122
Kansas,3511965,1260453,530646,174378,285944,245350,312305,149993,426708,0,0,126187
Kentucky,6113027,1380733,490037,903713,434688,306642,496239,216857,484498,1346934,0,52686
Louisiana,4108399,1373504,472579,421191,403359,191828,428659,205911,508053,60436,0,42879
Massachusetts,5243183,1777097,532234,495588,448483,451058,650253,135463,549814,0,71978,131215
Maryland,7189978,2256247,1105358,175403,727486,556477,921545,176550,710352,240589,0,319971
Maine,869566,279479,86632,69773,99115,87572,108136,36836,92961,0,0,9061
Michigan,16271188,4381025,1621950,702679,1286242,710624,1046947,467363,1394868,4074752,0,584737
Minnesota,5927210,1745469,878397,315580,751735,447653,545180,95874,638502,0,0,508822
Missouri,5201800,1580488,238210,240781,316897,328047,437893,200479,888933,879587,0,90486
Mississippi,4623103,1166969,407112,225518,207728,193624,470606,251340,402241,1141835,2007,154123
Montana,1101301,328862,203443,72155,92443,100973,87813,53375,135466,0,0,26771
North Carolina,11144591,3724035,1132909,418355,837182,434015,1094533,621127,2298407,0,16900,567129
North Dakota,1194445,477978,162684,74078,102256,118872,85004,24300,115159,0,73,34040
Nebraska,2570533,856812,370038,117461,238807,98331,238311,92674,356799,84898,0,116401
New Hampshire,989727,332062,122315,10736,96534,60222,116911,17257,207875,0,0,25816
New Jersey,7989094,2645689,646651,386871,875444,541652,996763,202111,631869,724273,17640,320130
New Mexico,3786755,787624,366470,554380,146166,136384,229336,126561,168654,1016685,25033,229464
Nevada,1701829,724989,134116,73749,173450,180025,191586,85475,98728,0,0,39710
New York,18585368,6932058,836397,291204,1516160,1237930,2367175,713331,1006001,3011025,0,674085
Ohio,14399774,4220988,1022980,496674,1050600,652978,1275571,457110,1278512,3772325,0,172037
Oklahoma,4776746,1561428,373236,175992,377167,227637,333011,234574,647923,102492,554813,188474
Oregon,6949056,1639944,594167,297284,441513,257093,704623,251806,649888,1904698,0,208039
Pennsylvania,3368034,1481031,7543,54238,325595,361911,543569,170227,314213,0,0,109705
Rhode Island,792218,267875,106617,13239,82922,66333,94704,36043,124485,0,0,0
South Carolina,4660053,1761079,591618,271087,391706,356064,460977,204408,566851,0,0,56263
South Dakota,841747,298998,94757,57454,81342,84099,88812,30227,84706,0,0,21352
Tennessee,4636455,1899710,398318,257380,419012,406086,429774,300424,316513,0,66197,143040
Texas,35450170,10298201,3245755,1036181,2785182,1511063,4174390,1600229,1985992,3314917,77450,5420810
Utah,6289725,1146906,477781,907711,277725,202466,399014,131613,313502,1769357,532297,131354
Virginia,10038924,3123469,1172779,271304,842630,394087,805913,348155,1491422,1530996,1300,56871
Vermont,896401,277382,101073,86643,100242,75316,88247,24223,114480,0,0,28795
Washington,9892889,3025334,1114220,111065,835127,459652,740458,503759,1070806,1874646,0,157823
Wisconsin,6589016,2235804,1098289,333590,517245,547333,536959,223177,630876,0,0,465743
West Virginia,1912935,629694,156193,92250,104812,97550,243786,108052,231535,0,0,249064
Wyoming,877311,270211,78394,44108,65160,48254,104477,42400,135846,0,0,88462
